,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
23994,2012,ohio_wyandot,2.9232,3.4733139194832634,3.2604090729150834,0.6805543935705103,0.5208933107439992,-1.6269981272691418,-3.2867806382171505,-2.504533356014645,0.0147683080976666
24036,2012,ohio_ashtabula,3.18528,2.3408594452684075,2.1138240215255,-1.6979994481033565,0.6621532042129192,-3.038893691131047,-3.2870818616067354,-3.137186448056246,0.0147683080976666
24075,2012,ohio_columbiana,3.1180799999999995,1.7583333651224773,1.5200000603993733,-2.5866665840148926,0.6575816370516765,-2.8874999284744263,-2.609999895095825,-2.513333320617676,0.0147683080976666
24115,2012,ohio_medina,2.64096,3.176476191465186,2.9029100609834866,1.2112301581120366,0.5474453052633271,-0.410119035603508,-3.055849168792604,-2.361198401766479,0.0147683080976666
24154,2012,ohio_portage,3.1584,2.180000066757202,1.933333396911621,-2.208333373069763,0.6310753712891181,-2.995000004768372,-2.663333257039388,-2.493333339691162,0.0147683080976666
24189,2012,ohio_stark,2.99712,1.9199999968210857,1.6716666618982952,-2.56333335240682,0.6231136079778403,-2.8924999237060547,-2.824999968210856,-2.690000057220459,0.0147683080976666
24228,2012,ohio_trumbull,3.48096,2.18833335240682,1.9650000333786013,-2.206666678190232,0.7196542963526926,-3.049999952316284,-3.177500049273173,-3.0550000270207724,0.0147683080976666
24270,2012,ohio_wayne,3.09792,2.564586032649656,2.320013536519302,-0.6278355273526985,0.5843220233569211,-2.387345821632968,-3.191544915174509,-2.6005302710192546,0.0147683080976666
24311,2012,ohio_allen,3.58848,2.3693722582421306,2.06790376953432,-2.6811389747640573,0.5594773092985297,-3.483832727940513,-3.30554130570367,-2.7457063098236154,0.0147683080976666
24353,2012,ohio_defiance,2.32512,2.607896703007852,2.210545210549264,-3.4057900187372767,0.4284166170810688,-3.908796063712543,-4.066699082727788,-4.133574782410595,0.0147683080976666
24393,2012,ohio_fulton,3.192,2.677237137162147,2.328602839914654,-2.5928435830531185,0.5670280955003428,-3.4283081014109262,-3.81576354805878,-4.002951907969552,0.0147683080976666
24435,2012,ohio_hancock,3.34656,3.101090536339438,2.80506949627484,-0.6261451181172821,0.5893086168216327,-3.0515979285441013,-3.293770385783743,-2.68931939210971,0.0147683080976666
24476,2012,ohio_henry,3.35328,2.875791308825198,2.477610310243316,-3.1076215320932388,0.4642626872182852,-3.740750399313826,-3.792746267286443,-3.738584670632049,0.0147683080976666
24517,2012,ohio_lucas,3.5212799999999995,3.597396178568605,3.3042585385847225,0.7783148996552157,0.5186146502681739,-0.6422479562449261,-2.001569640261694,-2.9680590755571195,0.0147683080976666
24558,2012,ohio_paulding,2.73504,2.117476225668453,1.6772805355569596,-3.664232578138056,0.4264883886133367,-4.108761845329204,-3.925786374482792,-3.829215135882583,0.0147683080976666
24600,2012,ohio_putnam,3.26592,2.783242523791109,2.420508221932314,-2.5834571987768187,0.5251808138928906,-3.654312854370681,-3.2642908388098983,-2.931666315900651,0.0147683080976666
24642,2012,ohio_van wert,3.71616,1.972793345031323,1.649874333684001,-3.3640852575426528,0.5839504584425812,-3.743858484783327,-3.329655235409576,-3.0656735683490246,0.0147683080976666
24684,2012,ohio_williams,2.68128,2.5144498098892853,2.171441111802267,-2.987960821300691,0.4668014913797382,-3.610845356219,-3.92368179546002,-4.157051925959408,0.0147683080976666
24726,2012,ohio_wood,3.60192,3.189916823299523,2.87967874763138,-0.193499469226637,0.5669803048374926,-1.7466148723337434,-2.7081150260008098,-2.655113591521923,0.0147683080976666
24767,2012,ohio_brown,3.26592,2.1654388294309164,2.044373603293294,-0.6282759169040638,0.6284478787176943,-2.2207155116442485,-2.791129397045143,-2.555617560452069,0.0147683080976666
24809,2012,ohio_highland,3.0576,2.05510333412938,1.9288291452391613,-1.2961670859246344,0.6714710372388054,-2.669901635886461,-3.285328703566057,-3.12322303260587,0.0147683080976666
24909,2012,ohio_scioto,2.3049599999999995,1.831570998078487,1.825642026513,-0.7333879806304889,0.6082637447729118,-1.8648565406682065,-2.321509567766242,-2.309924932451196,0.0147683080976666
25010,2012,ohio_perry,2.8224,2.620673124606793,2.449102653906896,-0.952980772807048,0.6163984491377861,-2.9219230917783885,-3.0757050972718463,-2.7971473550185184,0.0147683080976666
25047,2012,ohio_butler,1.88832,2.926521635486351,2.797964759287922,-0.0243936978914713,0.4772947324150974,-1.9713195461179325,-3.601899674660922,-3.125019029385126,0.0147683080976666
25088,2012,ohio_clermont,3.03072,2.611939408081613,2.516543775868359,0.9808753153903308,0.6270801717100298,-0.8558767581050344,-2.762559931769932,-2.5158213195469163,0.0147683080976666
25130,2012,ohio_clinton,3.19872,2.396058480840053,2.2630514846979555,-0.5258825881084523,0.6930702761209294,-2.538999430096509,-3.361586723419144,-3.176337087380396,0.0147683080976666
